"Country","Date","Policy Category","Policy Type","Policy Value","Policy Value Description","Policy Value Description KFF","Income","Region"
"United States",2021-03-04,"Closure Policies","Stay at home requirements",1,"Recommended not leaving house","Recommend not leaving house","High income","Region of the Americas"
"Poland",2021-03-05,"Closure Policies","International travel controls",2,"Quarantine arrivals","Partial restriction","High income","European Region"
"Russia",2021-03-05,"Closure Policies","School closing",0,"No measures","No restriction","Upper middle income","European Region"
"New Zealand",2021-03-07,"Closure Policies","School closing",0,"No measures","No restriction","High income","Western Pacific Region"
"New Zealand",2021-03-07,"Closure Policies","Restrictions on internal movement",0,"No measures","No restriction","High income","Western Pacific Region"
"Oman",2021-03-07,"Closure Policies","School closing",2,"Required closing on some levels","Partial closing","High income","Eastern Mediterranean Region"
"Estonia",2021-03-08,"Economic Policies","Income support",2,"Government is replacing 50% or more of lost income","Broad support","High income","European Region"
"Hungary",2021-03-08,"Health Policies","Facial Coverings",3,"Required facial covering in all public settings","Recommended/Partial requirement","High income","European Region"
"Somalia",2021-03-08,"Closure Policies","Restrictions on internal movement",0,"No measures","No restriction","Low income","Eastern Mediterranean Region"
"Serbia",2021-03-08,"Closure Policies","Restrictions on internal movement",0,"No measures","No restriction","Upper middle income","European Region"
"Togo",2021-03-08,"Closure Policies","Workplace closing",2,"Required closing for some sectors","Partial closing","Low income","African Region"
"Congo (Brazzaville)",2021-03-09,"Closure Policies","Restrictions on internal movement",1,"Recommended not to travel between regions/cities","Recommend not to travel between regions/cities","Lower middle income","African Region"
"Congo (Brazzaville)",2021-03-09,"Economic Policies","Income support",0,"No measures","No support","Lower middle income","African Region"
"Dominica",2021-03-09,"Health Policies","Vaccination policy",5,"Universal availability","Universal availability","Upper middle income","Region of the Americas"
"Ethiopia",2021-03-09,"Health Policies","Facial Coverings",3,"Required facial covering in all public settings","Recommended/Partial requirement","Low income","African Region"
"Faroe Islands",2021-03-09,"Closure Policies","Cancel public events",1,"Recommended cancelling of public events","Recommend cancelling","High income",NA
"Faroe Islands",2021-03-09,"Closure Policies","Restrictions on gatherings",2,"Restrictions on gatherings between 101-1,000 people","Partial restriction","High income",NA
"Burma",2021-03-09,"Closure Policies","Stay at home requirements",2,"Required not leaving house with exceptions","Require not leaving house with exceptions","Lower middle income","South-East Asia Region"
"Nigeria",2021-03-09,"Health Policies","Facial Coverings",3,"Required facial covering in all public settings","Recommended/Partial requirement","Lower middle income","African Region"
"Sudan",2021-03-09,"Closure Policies","International travel controls",2,"Quarantine arrivals","Partial restriction","Low income","Eastern Mediterranean Region"
"El Salvador",2021-03-09,"Closure Policies","Stay at home requirements",0,"No measures","No restriction","Lower middle income","Region of the Americas"
"Somalia",2021-03-09,"Closure Policies","Cancel public events",1,"Recommended cancelling of public events","Recommend cancelling","Low income","Eastern Mediterranean Region"
"Somalia",2021-03-09,"Closure Policies","Stay at home requirements",1,"Recommended not leaving house","Recommend not leaving house","Low income","Eastern Mediterranean Region"
"Eswatini",2021-03-09,"Health Policies","Facial Coverings",4,"Required facial covering outside the home at all times","Required to wear a facial covering at all times outside the home","Lower middle income","African Region"
"Turkmenistan",2021-03-09,"Closure Policies","Restrictions on internal movement",2,"Internal movement restrictions in place","Internal movement restrictions in place","Upper middle income","European Region"
"Timor-Leste",2021-03-09,"Closure Policies","Restrictions on gatherings",4,"Restrictions on gatherings of 10 people or fewer","Full restriction","Lower middle income","South-East Asia Region"
"Zambia",2021-03-09,"Health Policies","Facial Coverings",3,"Required facial covering in all public settings","Recommended/Partial requirement","Lower middle income","African Region"
"Zimbabwe",2021-03-09,"Closure Policies","Workplace closing",2,"Required closing for some sectors","Partial closing","Lower middle income","African Region"
"Zimbabwe",2021-03-09,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","Lower middle income","African Region"
"Afghanistan",2021-03-10,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","Low income","Eastern Mediterranean Region"
"Jordan",2021-03-10,"Closure Policies","School closing",3,"Required closing on all levels","Full closing","Upper middle income","Eastern Mediterranean Region"
"Mauritius",2021-03-10,"Closure Policies","School closing",3,"Required closing on all levels","Full closing","High income","African Region"
"Mauritius",2021-03-10,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","High income","African Region"
"Saudi Arabia",2021-03-11,"Health Policies","Vaccination policy",5,"Universal availability","Universal availability","High income","Eastern Mediterranean Region"
"New Zealand",2021-03-12,"Closure Policies","Workplace closing",0,"No measures","No restrictions","High income","Western Pacific Region"
"New Zealand",2021-03-12,"Closure Policies","Cancel public events",0,"No measures","No restriction","High income","Western Pacific Region"
"New Zealand",2021-03-12,"Closure Policies","Restrictions on gatherings",0,"No measures","No restriction","High income","Western Pacific Region"
"Finland",2021-03-13,"Health Policies","Facial Coverings",2,"Required facial covering in some public settings","Recommended/Partial requirement","High income","European Region"
"Ireland",2021-03-13,"Health Policies","Vaccination policy",3,"Vaccine availability for all of the following key groups: essential workers, clinically vulnerable, and elderly adults","Partial availability","High income","European Region"
"Timor-Leste",2021-03-13,"Closure Policies","Workplace closing",3,"Required closing for all excluding essential workers","Full closing (with exception for essential workers)","Lower middle income","South-East Asia Region"
"Tunisia",2021-03-13,"Health Policies","Vaccination policy",3,"Vaccine availability for all of the following key groups: essential workers, clinically vulnerable, and elderly adults","Partial availability","Lower middle income","Eastern Mediterranean Region"
"Bulgaria",2021-03-15,"Closure Policies","Restrictions on gatherings",3,"Restrictions on gatherings between 11-100 people","Partial restriction","Upper middle income","European Region"
"Bahrain",2021-03-15,"Closure Policies","School closing",1,"Recommended closing or all schools open with alterations resulting in significant operational changes","Partial closing","High income","Eastern Mediterranean Region"
"Iraq",2021-03-15,"Closure Policies","School closing",3,"Required closing on all levels","Full closing","Upper middle income","Eastern Mediterranean Region"
"Iraq",2021-03-15,"Health Policies","Facial Coverings",4,"Required facial covering outside the home at all times","Required to wear a facial covering at all times outside the home","Upper middle income","Eastern Mediterranean Region"
"Moldova",2021-03-15,"Closure Policies","International travel controls",1,"Screening arrivals","Partial restriction","Lower middle income","European Region"
"Portugal",2021-03-15,"Closure Policies","Workplace closing",2,"Required closing for some sectors","Partial closing","High income","European Region"
"Qatar",2021-03-15,"Economic Policies","Debt contract relief",1,"Narrow relief","Narrow support","High income","Eastern Mediterranean Region"
"Romania",2021-03-15,"Closure Policies","Workplace closing",1,"Recommended closing","Partial closing","High income","European Region"
"Romania",2021-03-15,"Health Policies","Vaccination policy",5,"Universal availability","Universal availability","High income","European Region"
"Togo",2021-03-15,"Economic Policies","Income support",1,"Government is replacing less than 50% of lost income","Some support","Low income","African Region"
"U.S. Virgin Islands",2021-03-15,"Closure Policies","Workplace closing",2,"Required closing for some sectors","Partial closing","High income",NA
"U.S. Virgin Islands",2021-03-15,"Economic Policies","Income support",1,"Government is replacing less than 50% of lost income","Some support","High income",NA
"U.S. Virgin Islands",2021-03-15,"Health Policies","Vaccination policy",5,"Universal availability","Universal availability","High income",NA
"Burundi",2021-03-16,"Health Policies","Facial Coverings",1,"Recommended facial covering","Recommended/Partial requirement","Low income","African Region"
"Czechia",2021-03-16,"Economic Policies","Income support",1,"Government is replacing less than 50% of lost income","Some support","High income","European Region"
"Greenland",2021-03-16,"Health Policies","Vaccination policy",3,"Vaccine availability for all of the following key groups: essential workers, clinically vulnerable, and elderly adults","Partial availability","High income",NA
"Somalia",2021-03-16,"Health Policies","Vaccination policy",2,"Vaccine availability for two of the following key groups: essential workers, clinically vulnerable, or elderly adults","Partial availability","Low income","Eastern Mediterranean Region"
"Albania",2021-03-17,"Economic Policies","Debt contract relief",1,"Narrow relief","Narrow support","Upper middle income","European Region"
"United Kingdom",2021-03-17,"Health Policies","Vaccination policy",4,"Vaccine availability for all of the key groups plus partial additional availability","Partial availability","High income","European Region"
"Cambodia",2021-03-17,"Closure Policies","School closing",3,"Required closing on all levels","Full closing","Lower middle income","Western Pacific Region"
"West Bank and Gaza",2021-03-17,"Closure Policies","Restrictions on gatherings",4,"Restrictions on gatherings of 10 people or fewer","Full restriction","Lower middle income",NA
"Tajikistan",2021-03-17,"Health Policies","Facial Coverings",4,"Required facial covering outside the home at all times","Required to wear a facial covering at all times outside the home","Low income","European Region"
"Brazil",2021-03-18,"Economic Policies","Income support",1,"Government is replacing less than 50% of lost income","Some support","Upper middle income","Region of the Americas"
"Senegal",2021-03-19,"Closure Policies","Workplace closing",0,"No measures","No restrictions","Lower middle income","African Region"
"Senegal",2021-03-19,"Closure Policies","Cancel public events",0,"No measures","No restriction","Lower middle income","African Region"
"Senegal",2021-03-19,"Closure Policies","Restrictions on gatherings",0,"No measures","No restriction","Lower middle income","African Region"
"Senegal",2021-03-19,"Closure Policies","Stay at home requirements",0,"No measures","No restriction","Lower middle income","African Region"
"Germany",2021-03-20,"Closure Policies","Restrictions on internal movement",1,"Recommended not to travel between regions/cities","Recommend not to travel between regions/cities","High income","European Region"
"West Bank and Gaza",2021-03-21,"Closure Policies","Workplace closing",1,"Recommended closing","Partial closing","Lower middle income",NA
"West Bank and Gaza",2021-03-21,"Closure Policies","Stay at home requirements",2,"Required not leaving house with exceptions","Require not leaving house with exceptions","Lower middle income",NA
"El Salvador",2021-03-21,"Health Policies","Vaccination policy",4,"Vaccine availability for all of the key groups plus partial additional availability","Partial availability","Lower middle income","Region of the Americas"
"Australia",2021-03-22,"Health Policies","Vaccination policy",4,"Vaccine availability for all of the key groups plus partial additional availability","Partial availability","High income","Western Pacific Region"
"Senegal",2021-03-22,"Closure Policies","School closing",1,"Recommended closing or all schools open with alterations resulting in significant operational changes","Partial closing","Lower middle income","African Region"
"Turkey",2021-03-22,"Health Policies","Vaccination policy",3,"Vaccine availability for all of the following key groups: essential workers, clinically vulnerable, and elderly adults","Partial availability","Upper middle income","European Region"
"Argentina",2021-03-23,"Closure Policies","Restrictions on gatherings",4,"Restrictions on gatherings of 10 people or fewer","Full restriction","Upper middle income","Region of the Americas"
"Bahrain",2021-03-23,"Closure Policies","International travel controls",2,"Quarantine arrivals","Partial restriction","High income","Eastern Mediterranean Region"
"Bahamas",2021-03-23,"Closure Policies","School closing",2,"Required closing on some levels","Partial closing","High income","Region of the Americas"
"Bahamas",2021-03-23,"Economic Policies","Income support",1,"Government is replacing less than 50% of lost income","Some support","High income","Region of the Americas"
"Bahamas",2021-03-23,"Economic Policies","Debt contract relief",1,"Narrow relief","Narrow support","High income","Region of the Americas"
"Eritrea",2021-03-23,"Closure Policies","Restrictions on gatherings",4,"Restrictions on gatherings of 10 people or fewer","Full restriction","Low income","African Region"
"Eritrea",2021-03-23,"Closure Policies","Stay at home requirements",1,"Recommended not leaving house","Recommend not leaving house","Low income","African Region"
"Gabon",2021-03-23,"Closure Policies","International travel controls",2,"Quarantine arrivals","Partial restriction","Upper middle income","African Region"
"Gabon",2021-03-23,"Health Policies","Vaccination policy",2,"Vaccine availability for two of the following key groups: essential workers, clinically vulnerable, or elderly adults","Partial availability","Upper middle income","African Region"
"Kenya",2021-03-23,"Health Policies","Vaccination policy",2,"Vaccine availability for two of the following key groups: essential workers, clinically vulnerable, or elderly adults","Partial availability","Lower middle income","African Region"
"South Korea",2021-03-23,"Health Policies","Vaccination policy",3,"Vaccine availability for all of the following key groups: essential workers, clinically vulnerable, and elderly adults","Partial availability","High income","Western Pacific Region"
"Lebanon",2021-03-23,"Closure Policies","International travel controls",2,"Quarantine arrivals","Partial restriction","Upper middle income","Eastern Mediterranean Region"
"Lebanon",2021-03-23,"Health Policies","Vaccination policy",3,"Vaccine availability for all of the following key groups: essential workers, clinically vulnerable, and elderly adults","Partial availability","Upper middle income","Eastern Mediterranean Region"
"Nicaragua",2021-03-23,"Health Policies","Vaccination policy",1,"Vaccine availability for one of the following key groups: essential workers, clinically vulnerable, or elderly adults","Partial availability","Lower middle income","Region of the Americas"
"Pakistan",2021-03-23,"Closure Policies","School closing",2,"Required closing on some levels","Partial closing","Lower middle income","Eastern Mediterranean Region"
"Puerto Rico",2021-03-23,"Health Policies","Vaccination policy",3,"Vaccine availability for all of the following key groups: essential workers, clinically vulnerable, and elderly adults","Partial availability","High income",NA
"Qatar",2021-03-23,"Closure Policies","Restrictions on gatherings",4,"Restrictions on gatherings of 10 people or fewer","Full restriction","High income","Eastern Mediterranean Region"
"Sudan",2021-03-23,"Health Policies","Facial Coverings",3,"Required facial covering in all public settings","Recommended/Partial requirement","Low income","Eastern Mediterranean Region"
"Solomon Islands",2021-03-23,"Health Policies","Facial Coverings",0,"No measures","No requirement","Lower middle income","Western Pacific Region"
"Solomon Islands",2021-03-23,"Health Policies","Vaccination policy",1,"Vaccine availability for one of the following key groups: essential workers, clinically vulnerable, or elderly adults","Partial availability","Lower middle income","Western Pacific Region"
"Sierra Leone",2021-03-23,"Closure Policies","Restrictions on gatherings",2,"Restrictions on gatherings between 101-1,000 people","Partial restriction","Low income","African Region"
"Somalia",2021-03-23,"Closure Policies","International travel controls",1,"Screening arrivals","Partial restriction","Low income","Eastern Mediterranean Region"
"Somalia",2021-03-23,"Economic Policies","Debt contract relief",1,"Narrow relief","Narrow support","Low income","Eastern Mediterranean Region"
"Seychelles",2021-03-23,"Health Policies","Vaccination policy",5,"Universal availability","Universal availability","High income","African Region"
"Chad",2021-03-23,"Closure Policies","Stay at home requirements",0,"No measures","No restriction","Low income","African Region"
"United States",2021-03-23,"Closure Policies","Workplace closing",1,"Recommended closing","Partial closing","High income","Region of the Americas"
"United States",2021-03-23,"Closure Policies","Cancel public events",1,"Recommended cancelling of public events","Recommend cancelling","High income","Region of the Americas"
"U.S. Virgin Islands",2021-03-23,"Economic Policies","Debt contract relief",1,"Narrow relief","Narrow support","High income",NA
"Andorra",2021-03-24,"Closure Policies","International travel controls",1,"Screening arrivals","Partial restriction","High income","European Region"
"Georgia",2021-03-24,"Health Policies","Vaccination policy",2,"Vaccine availability for two of the following key groups: essential workers, clinically vulnerable, or elderly adults","Partial availability","Upper middle income","European Region"
"Jordan",2021-03-24,"Health Policies","Vaccination policy",4,"Vaccine availability for all of the key groups plus partial additional availability","Partial availability","Upper middle income","Eastern Mediterranean Region"
"Singapore",2021-03-24,"Health Policies","Vaccination policy",4,"Vaccine availability for all of the key groups plus partial additional availability","Partial availability","High income","Western Pacific Region"
"Sierra Leone",2021-03-24,"Closure Policies","Stay at home requirements",1,"Recommended not leaving house","Recommend not leaving house","Low income","African Region"
"Guam",2021-03-25,"Economic Policies","Income support",0,"No measures","No support","High income",NA
"Guam",2021-03-25,"Health Policies","Vaccination policy",5,"Universal availability","Universal availability","High income",NA
"Sudan",2021-03-25,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","Low income","Eastern Mediterranean Region"
"Sudan",2021-03-25,"Closure Policies","Restrictions on gatherings",4,"Restrictions on gatherings of 10 people or fewer","Full restriction","Low income","Eastern Mediterranean Region"
"Aruba",2021-03-26,"Economic Policies","Income support",1,"Government is replacing less than 50% of lost income","Some support","High income",NA
"United Arab Emirates",2021-03-26,"Closure Policies","School closing",1,"Recommended closing or all schools open with alterations resulting in significant operational changes","Partial closing","High income","Eastern Mediterranean Region"
"Kenya",2021-03-26,"Closure Policies","Restrictions on gatherings",3,"Restrictions on gatherings between 11-100 people","Partial restriction","Lower middle income","African Region"
"Bhutan",2021-03-27,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","Lower middle income","South-East Asia Region"
"Ethiopia",2021-03-27,"Health Policies","Vaccination policy",3,"Vaccine availability for all of the following key groups: essential workers, clinically vulnerable, and elderly adults","Partial availability","Low income","African Region"
"Kazakhstan",2021-03-27,"Closure Policies","Restrictions on internal movement",2,"Internal movement restrictions in place","Internal movement restrictions in place","Upper middle income","European Region"
"Kyrgyzstan",2021-03-27,"Closure Policies","International travel controls",1,"Screening arrivals","Partial restriction","Lower middle income","European Region"
"Australia",2021-03-28,"Economic Policies","Debt contract relief",0,"No measures","No support","High income","Western Pacific Region"
"Bermuda",2021-03-28,"Closure Policies","Restrictions on gatherings",4,"Restrictions on gatherings of 10 people or fewer","Full restriction","High income",NA
"Bermuda",2021-03-28,"Economic Policies","Income support",2,"Government is replacing 50% or more of lost income","Broad support","High income",NA
"Kenya",2021-03-28,"Closure Policies","Restrictions on internal movement",2,"Internal movement restrictions in place","Internal movement restrictions in place","Lower middle income","African Region"
"Peru",2021-03-28,"Health Policies","Vaccination policy",3,"Vaccine availability for all of the following key groups: essential workers, clinically vulnerable, and elderly adults","Partial availability","Upper middle income","Region of the Americas"
"Romania",2021-03-28,"Economic Policies","Debt contract relief",2,"Broad debt/contract relief","Broad support","High income","European Region"
"Russia",2021-03-28,"Health Policies","Vaccination policy",5,"Universal availability","Universal availability","Upper middle income","European Region"
"Benin",2021-03-29,"Health Policies","Vaccination policy",3,"Vaccine availability for all of the following key groups: essential workers, clinically vulnerable, and elderly adults","Partial availability","Lower middle income","African Region"
"Cape Verde",2021-03-29,"Closure Policies","Restrictions on gatherings",4,"Restrictions on gatherings of 10 people or fewer","Full restriction","Lower middle income","African Region"
"Cape Verde",2021-03-29,"Health Policies","Vaccination policy",3,"Vaccine availability for all of the following key groups: essential workers, clinically vulnerable, and elderly adults","Partial availability","Lower middle income","African Region"
"Denmark",2021-03-29,"Closure Policies","School closing",3,"Required closing on all levels","Full closing","High income","European Region"
"Guatemala",2021-03-29,"Closure Policies","Workplace closing",2,"Required closing for some sectors","Partial closing","Upper middle income","Region of the Americas"
"Liechtenstein",2021-03-29,"Closure Policies","Restrictions on gatherings",3,"Restrictions on gatherings between 11-100 people","Partial restriction","High income",NA
"Paraguay",2021-03-29,"Closure Policies","Restrictions on gatherings",3,"Restrictions on gatherings between 11-100 people","Partial restriction","Upper middle income","Region of the Americas"
"Saudi Arabia",2021-03-29,"Closure Policies","Workplace closing",1,"Recommended closing","Partial closing","High income","Eastern Mediterranean Region"
"Turkmenistan",2021-03-29,"Closure Policies","Stay at home requirements",0,"No measures","No restriction","Upper middle income","European Region"
"United States",2021-03-29,"Closure Policies","Restrictions on internal movement",1,"Recommended not to travel between regions/cities","Recommend not to travel between regions/cities","High income","Region of the Americas"
"Yemen",2021-03-29,"Closure Policies","Workplace closing",1,"Recommended closing","Partial closing","Low income","Eastern Mediterranean Region"
"Yemen",2021-03-29,"Closure Policies","Cancel public events",1,"Recommended cancelling of public events","Recommend cancelling","Low income","Eastern Mediterranean Region"
"Bangladesh",2021-03-30,"Closure Policies","Workplace closing",1,"Recommended closing","Partial closing","Lower middle income","South-East Asia Region"
"Bangladesh",2021-03-30,"Closure Policies","Stay at home requirements",2,"Required not leaving house with exceptions","Require not leaving house with exceptions","Lower middle income","South-East Asia Region"
"Belize",2021-03-30,"Health Policies","Vaccination policy",3,"Vaccine availability for all of the following key groups: essential workers, clinically vulnerable, and elderly adults","Partial availability","Upper middle income","Region of the Americas"
"Egypt",2021-03-30,"Closure Policies","Stay at home requirements",1,"Recommended not leaving house","Recommend not leaving house","Lower middle income","Eastern Mediterranean Region"
"Ghana",2021-03-30,"Health Policies","Vaccination policy",3,"Vaccine availability for all of the following key groups: essential workers, clinically vulnerable, and elderly adults","Partial availability","Lower middle income","African Region"
"Iraq",2021-03-30,"Closure Policies","Workplace closing",2,"Required closing for some sectors","Partial closing","Upper middle income","Eastern Mediterranean Region"
"Libya",2021-03-30,"Closure Policies","International travel controls",4,"Ban arrivals from all regions/Border closure","Full restriction","Upper middle income","Eastern Mediterranean Region"
"Luxembourg",2021-03-30,"Closure Policies","School closing",1,"Recommended closing or all schools open with alterations resulting in significant operational changes","Partial closing","High income","European Region"
"Luxembourg",2021-03-30,"Closure Policies","Workplace closing",1,"Recommended closing","Partial closing","High income","European Region"
"Morocco",2021-03-30,"Health Policies","Vaccination policy",3,"Vaccine availability for all of the following key groups: essential workers, clinically vulnerable, and elderly adults","Partial availability","Lower middle income","Eastern Mediterranean Region"
"Monaco",2021-03-30,"Closure Policies","Workplace closing",2,"Required closing for some sectors","Partial closing","High income","European Region"
"Monaco",2021-03-30,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","High income","European Region"
"Monaco",2021-03-30,"Closure Policies","Stay at home requirements",2,"Required not leaving house with exceptions","Require not leaving house with exceptions","High income","European Region"
"Monaco",2021-03-30,"Closure Policies","Restrictions on internal movement",0,"No measures","No restriction","High income","European Region"
"Monaco",2021-03-30,"Closure Policies","International travel controls",1,"Screening arrivals","Partial restriction","High income","European Region"
"Monaco",2021-03-30,"Economic Policies","Income support",2,"Government is replacing 50% or more of lost income","Broad support","High income","European Region"
"Monaco",2021-03-30,"Economic Policies","Debt contract relief",0,"No measures","No support","High income","European Region"
"Mali",2021-03-30,"Health Policies","Vaccination policy",3,"Vaccine availability for all of the following key groups: essential workers, clinically vulnerable, and elderly adults","Partial availability","Low income","African Region"
"Mauritius",2021-03-30,"Closure Policies","International travel controls",4,"Ban arrivals from all regions/Border closure","Full restriction","High income","African Region"
"Oman",2021-03-30,"Closure Policies","Workplace closing",2,"Required closing for some sectors","Partial closing","High income","Eastern Mediterranean Region"
"Panama",2021-03-30,"Closure Policies","Restrictions on internal movement",0,"No measures","No restriction","High income","Region of the Americas"
"Papua New Guinea",2021-03-30,"Health Policies","Vaccination policy",1,"Vaccine availability for one of the following key groups: essential workers, clinically vulnerable, or elderly adults","Partial availability","Lower middle income","Western Pacific Region"
"West Bank and Gaza",2021-03-30,"Health Policies","Facial Coverings",3,"Required facial covering in all public settings","Recommended/Partial requirement","Lower middle income",NA
"Qatar",2021-03-30,"Health Policies","Vaccination policy",4,"Vaccine availability for all of the key groups plus partial additional availability","Partial availability","High income","Eastern Mediterranean Region"
"Rwanda",2021-03-30,"Health Policies","Facial Coverings",3,"Required facial covering in all public settings","Recommended/Partial requirement","Low income","African Region"
"Sudan",2021-03-30,"Health Policies","Vaccination policy",3,"Vaccine availability for all of the following key groups: essential workers, clinically vulnerable, and elderly adults","Partial availability","Low income","Eastern Mediterranean Region"
"El Salvador",2021-03-30,"Closure Policies","Restrictions on internal movement",0,"No measures","No restriction","Lower middle income","Region of the Americas"
"El Salvador",2021-03-30,"Closure Policies","International travel controls",1,"Screening arrivals","Partial restriction","Lower middle income","Region of the Americas"
"Suriname",2021-03-30,"Economic Policies","Income support",1,"Government is replacing less than 50% of lost income","Some support","Upper middle income","Region of the Americas"
"Ukraine",2021-03-30,"Health Policies","Vaccination policy",2,"Vaccine availability for two of the following key groups: essential workers, clinically vulnerable, or elderly adults","Partial availability","Lower middle income","European Region"
"Australia",2021-03-31,"Economic Policies","Income support",0,"No measures","No support","High income","Western Pacific Region"
"Uruguay",2021-03-31,"Closure Policies","Workplace closing",2,"Required closing for some sectors","Partial closing","High income","Region of the Americas"
"Uruguay",2021-03-31,"Economic Policies","Income support",1,"Government is replacing less than 50% of lost income","Some support","High income","Region of the Americas"
"Uruguay",2021-03-31,"Economic Policies","Debt contract relief",1,"Narrow relief","Narrow support","High income","Region of the Americas"
"Azerbaijan",2021-04-01,"Economic Policies","Debt contract relief",0,"No measures","No support","Upper middle income","European Region"
"Bulgaria",2021-04-01,"Closure Policies","School closing",2,"Required closing on some levels","Partial closing","Upper middle income","European Region"
"Bulgaria",2021-04-01,"Closure Policies","Workplace closing",2,"Required closing for some sectors","Partial closing","Upper middle income","European Region"
"Brunei",2021-04-01,"Economic Policies","Debt contract relief",0,"No measures","No support","High income","Western Pacific Region"
"Canada",2021-04-01,"Closure Policies","Workplace closing",3,"Required closing for all excluding essential workers","Full closing (with exception for essential workers)","High income","Region of the Americas"
"Ecuador",2021-04-01,"Closure Policies","International travel controls",4,"Ban arrivals from all regions/Border closure","Full restriction","Upper middle income","Region of the Americas"
"Ecuador",2021-04-01,"Health Policies","Vaccination policy",3,"Vaccine availability for all of the following key groups: essential workers, clinically vulnerable, and elderly adults","Partial availability","Upper middle income","Region of the Americas"
"Guatemala",2021-04-01,"Closure Policies","School closing",1,"Recommended closing or all schools open with alterations resulting in significant operational changes","Partial closing","Upper middle income","Region of the Americas"
"India",2021-04-01,"Health Policies","Vaccination policy",4,"Vaccine availability for all of the key groups plus partial additional availability","Partial availability","Lower middle income","South-East Asia Region"
"Sri Lanka",2021-04-01,"Health Policies","Facial Coverings",3,"Required facial covering in all public settings","Recommended/Partial requirement","Lower middle income","South-East Asia Region"
"Morocco",2021-04-01,"Economic Policies","Income support",0,"No measures","No support","Lower middle income","Eastern Mediterranean Region"
"Morocco",2021-04-01,"Economic Policies","Debt contract relief",0,"No measures","No support","Lower middle income","Eastern Mediterranean Region"
"Nicaragua",2021-04-01,"Economic Policies","Debt contract relief",0,"No measures","No support","Lower middle income","Region of the Americas"
"Suriname",2021-04-01,"Closure Policies","School closing",3,"Required closing on all levels","Full closing","Upper middle income","Region of the Americas"
"Timor-Leste",2021-04-01,"Economic Policies","Income support",2,"Government is replacing 50% or more of lost income","Broad support","Lower middle income","South-East Asia Region"
"Uzbekistan",2021-04-01,"Health Policies","Vaccination policy",4,"Vaccine availability for all of the key groups plus partial additional availability","Partial availability","Lower middle income","European Region"
"Gambia",2021-04-02,"Health Policies","Vaccination policy",4,"Vaccine availability for all of the key groups plus partial additional availability","Partial availability","Low income","African Region"
"India",2021-04-03,"Closure Policies","Restrictions on internal movement",2,"Internal movement restrictions in place","Internal movement restrictions in place","Lower middle income","South-East Asia Region"
"Sweden",2021-04-03,"Economic Policies","Debt contract relief",0,"No measures","No support","High income","European Region"
"Syria",2021-04-03,"Closure Policies","School closing",2,"Required closing on some levels","Partial closing","Low income","Eastern Mediterranean Region"
"Syria",2021-04-03,"Closure Policies","Workplace closing",3,"Required closing for all excluding essential workers","Full closing (with exception for essential workers)","Low income","Eastern Mediterranean Region"
"Syria",2021-04-03,"Closure Policies","Restrictions on gatherings",3,"Restrictions on gatherings between 11-100 people","Partial restriction","Low income","Eastern Mediterranean Region"
"Syria",2021-04-03,"Closure Policies","Stay at home requirements",2,"Required not leaving house with exceptions","Require not leaving house with exceptions","Low income","Eastern Mediterranean Region"
"Syria",2021-04-03,"Health Policies","Facial Coverings",3,"Required facial covering in all public settings","Recommended/Partial requirement","Low income","Eastern Mediterranean Region"
"Somalia",2021-04-04,"Closure Policies","School closing",0,"No measures","No restriction","Low income","Eastern Mediterranean Region"
"Burundi",2021-04-05,"Closure Policies","Workplace closing",2,"Required closing for some sectors","Partial closing","Low income","African Region"
"Burundi",2021-04-05,"Closure Policies","International travel controls",1,"Screening arrivals","Partial restriction","Low income","African Region"
"Burundi",2021-04-05,"Economic Policies","Income support",1,"Government is replacing less than 50% of lost income","Some support","Low income","African Region"
"Burundi",2021-04-05,"Economic Policies","Debt contract relief",1,"Narrow relief","Narrow support","Low income","African Region"
"Burkina Faso",2021-04-05,"Economic Policies","Income support",0,"No measures","No support","Low income","African Region"
"Bolivia",2021-04-05,"Closure Policies","International travel controls",4,"Ban arrivals from all regions/Border closure","Full restriction","Lower middle income","Region of the Americas"
"Chile",2021-04-05,"Closure Policies","International travel controls",4,"Ban arrivals from all regions/Border closure","Full restriction","High income","Region of the Americas"
"China",2021-04-05,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","Upper middle income","Western Pacific Region"
"China",2021-04-05,"Closure Policies","Restrictions on gatherings",4,"Restrictions on gatherings of 10 people or fewer","Full restriction","Upper middle income","Western Pacific Region"
"Colombia",2021-04-05,"Closure Policies","Restrictions on gatherings",3,"Restrictions on gatherings between 11-100 people","Partial restriction","Upper middle income","Region of the Americas"
"Colombia",2021-04-05,"Health Policies","Facial Coverings",3,"Required facial covering in all public settings","Recommended/Partial requirement","Upper middle income","Region of the Americas"
"Eritrea",2021-04-05,"Economic Policies","Debt contract relief",0,"No measures","No support","Low income","African Region"
"Eritrea",2021-04-05,"Health Policies","Facial Coverings",3,"Required facial covering in all public settings","Recommended/Partial requirement","Low income","African Region"
